"Job Title","Date","float_Billable_Hours","Capacity"
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-01-01,0,16
"Associate Consultant  -  Business Intelligence (DDS)",2020-01-01,0,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-01-01,0,32
"BI Developer  -  Business Intelligence (DDS)",2020-01-01,0,16
"Data Architect  -  Data Architecture (DDS)",2020-01-01,4,24
"Data Engineer  -  Data Architecture (DDS)",2020-01-01,0,80
"Data Science Team Lead  -  Data Science (DDS)",2020-01-01,0,8
"Data Scientist  -  Data Science (DDS)",2020-01-01,0,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-01-01,0,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-01-01,0,24
"Jr. Software Developer  -  Business Applications (DDS)",2020-01-01,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-01-01,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-01-01,0,16
"Practice Director  -  Business Applications (DDS)",2020-01-01,0,8
"Practice Manager  -  Business Intelligence (DDS)",2020-01-01,0,8
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-01,0,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-01-01,0,8
"QA Engineer  -  Business Applications (DDS)",2020-01-01,8,24
"Quality Engineer  -  Business Applications (DDS)",2020-01-01,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-01-01,0,16
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-01-01,0,8
"Software Developer  -  Business Applications (DDS)",2020-01-01,0,32
"Software Engineer  -  Business Applications (DDS)",2020-01-01,8,24
"Sr. BI Consultant  -  Business Intelligence (DDS)",2020-01-01,0,8
"Sr. Consultant  -  Business Applications (DDS)",2020-01-01,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-01,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-01-01,0,16
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-01-01,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-01-01,0,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-01-01,6.5,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-01-01,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-01-01,8,32
"Tableau Developer  -  Business Intelligence (DDS)",2020-01-01,0,16
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-01-01,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-01,0,8
"Web Developer  -  Business Applications (DDS)",2020-01-01,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-01-02,0,16
"Associate Consultant  -  Business Intelligence (DDS)",2020-01-02,8,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-01-02,0,32
"BI Developer  -  Business Intelligence (DDS)",2020-01-02,14,16
"Data Architect  -  Data Architecture (DDS)",2020-01-02,4,24
"Data Engineer  -  Data Architecture (DDS)",2020-01-02,6,80
"Data Science Team Lead  -  Data Science (DDS)",2020-01-02,4,8
"Data Scientist  -  Data Science (DDS)",2020-01-02,35,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-01-02,6,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-01-02,0,24
"Jr. Software Developer  -  Business Applications (DDS)",2020-01-02,8,8
"Jr. Software Engineer  -  Business Applications (DDS)",2020-01-02,8,8
"Jr. Web Developer  -  Business Applications (DDS)",2020-01-02,0,16
"Practice Director  -  Business Applications (DDS)",2020-01-02,0,8
"Practice Manager  -  Business Intelligence (DDS)",2020-01-02,1,8
"Practice Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-02,0,8
"Project Coordinator  -  Data & Development Services (DDS) - Solution Delivery",2020-01-02,0,8
"QA Engineer  -  Business Applications (DDS)",2020-01-02,8,24
"Quality Engineer  -  Business Applications (DDS)",2020-01-02,0,16
"Senior BI Developer  -  Business Intelligence (DDS)",2020-01-02,8,16
"Senior DevOps Engineer  -  Business Applications (DDS)",2020-01-02,0,8
"Software Developer  -  Business Applications (DDS)",2020-01-02,0,32
"Software Engineer  -  Business Applications (DDS)",2020-01-02,8,24
"Sr. BI Consultant  -  Business Intelligence (DDS)",2020-01-02,0,8
"Sr. Consultant  -  Business Applications (DDS)",2020-01-02,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-02,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-01-02,0,16
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-01-02,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-01-02,8,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-01-02,6.5,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-01-02,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-01-02,8,32
"Tableau Developer  -  Business Intelligence (DDS)",2020-01-02,4,16
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-01-02,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-02,0,8
"Web Developer  -  Business Applications (DDS)",2020-01-02,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-01-03,0,16
"Associate Consultant  -  Business Intelligence (DDS)",2020-01-03,8,8
"BI  Consultant  -  Business Intelligence (DDS)",2020-01-03,0,32
"BI Developer  -  Business Intelligence (DDS)",2020-01-03,14,16
"Data Architect  -  Data Architecture (DDS)",2020-01-03,4,24
"Data Engineer  -  Data Architecture (DDS)",2020-01-03,6,80
"Data Science Team Lead  -  Data Science (DDS)",2020-01-03,4,8
"Data Scientist  -  Data Science (DDS)",2020-01-03,35,48
"Jr. Data Analyst  -  Data Science (DDS)",2020-01-03,6,8
"Jr. Data Scientist  -  Data Science (DDS)",2020-01-03,0,24
